city,datetime,CO,NO2,O3,PM10,PM2.5,SO2,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction_deg,precipitation_mm,air_quality_good,year,month,estado
Lisboa,05/09/25 01:00,0.96,25.2,84.09,11.82,9.12,6.75,18.9,82.0,1018.5,16.2,357.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 02:00,0.75,26.4,86.2,13.24,8.87,5.11,18.8,80.0,1018.3,15.5,356.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 03:00,0.87,25.16,74.41,15.18,10.84,5.76,18.6,79.0,1017.4,11.5,2.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 04:00,0.51,13.59,68.57,17.48,13.14,5.03,18.3,77.0,1017.2,11.3,351.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 05:00,0.61,15.89,78.79,14.7,13.68,6.2,18.6,72.0,1016.8,9.4,356.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 06:00,0.93,21.75,78.83,21.93,7.77,3.32,18.5,72.0,1017.1,8.7,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 07:00,2.02,38.56,89.44,32.45,31.74,9.45,18.0,75.0,1017.4,9.3,347.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 08:00,1.65,38.69,98.8,40.52,23.98,12.98,18.2,74.0,1017.4,8.8,348.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,05/09/25 09:00,1.66,40.94,73.16,28.12,20.3,10.91,19.3,68.0,1017.7,9.8,354.0,0.0,True,2025,9,condicoes_seguras
Lisboa,05/09/25 10:00,1.51,37.77,70.86,29.43,29.19,8.3,21.2,58.0,1017.2,10.1,4.0,0.0,True,2025,9,condicoes_seguras
Lisboa,05/09/25 11:00,1.75,30.82,86.44,26.23,23.78,6.4,22.9,53.0,1017.3,10.5,8.0,0.0,True,2025,9,condicoes_seguras
Lisboa,05/09/25 12:00,1.36,48.7,79.52,36.2,14.86,10.03,24.6,45.0,1016.4,9.7,22.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,05/09/25 13:00,1.34,48.99,74.51,28.29,26.13,7.78,26.3,39.0,1016.5,8.4,25.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 14:00,1.35,46.61,82.4,32.87,14.71,7.34,27.4,36.0,1015.6,7.2,27.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 15:00,1.31,41.75,64.58,33.57,25.5,8.26,28.3,34.0,1015.3,6.0,25.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 16:00,1.6,37.88,88.76,19.42,16.66,7.65,29.0,35.0,1014.1,8.4,350.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 17:00,1.56,53.3,81.47,27.61,25.39,15.63,27.9,40.0,1014.4,14.2,339.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 18:00,1.89,63.64,73.95,34.7,26.15,11.8,26.1,42.0,1014.6,15.8,333.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,05/09/25 19:00,1.71,27.13,78.93,33.74,28.68,11.96,24.0,46.0,1014.6,16.1,331.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,05/09/25 20:00,1.23,39.95,91.33,20.04,18.08,8.56,22.0,51.0,1014.7,13.0,332.0,0.0,True,2025,9,condicoes_seguras
Lisboa,05/09/25 21:00,1.5,22.99,78.42,34.45,15.94,5.83,21.1,49.0,1015.0,8.9,339.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,05/09/25 22:00,1.15,26.76,71.58,12.62,8.03,4.71,20.7,52.0,1014.9,5.2,335.0,0.0,True,2025,9,condicoes_seguras
Lisboa,05/09/25 23:00,0.59,14.28,69.41,10.3,12.42,4.12,20.1,54.0,1014.9,4.0,333.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 00:00,0.46,11.77,46.72,12.71,7.17,4.03,19.6,56.0,1015.2,2.5,352.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 01:00,0.43,13.89,40.2,7.04,9.82,2.55,19.3,58.0,1014.6,1.5,14.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 02:00,0.77,12.26,38.31,17.0,0.1,3.64,18.7,60.0,1014.7,2.3,342.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 03:00,0.63,15.47,42.77,6.2,6.36,1.53,18.3,61.0,1014.0,1.6,27.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 04:00,0.41,10.42,47.1,15.32,11.08,3.61,17.8,67.0,1014.4,1.8,37.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 05:00,0.48,12.26,43.54,12.61,9.9,2.45,17.3,73.0,1013.8,3.8,343.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 06:00,0.36,19.02,40.68,12.19,8.93,4.17,17.0,77.0,1013.4,3.1,339.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 07:00,1.31,30.82,53.89,17.98,16.28,10.19,17.2,76.0,1013.0,0.5,45.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 08:00,1.16,34.4,41.79,27.08,21.16,6.26,17.4,77.0,1013.2,2.4,63.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 09:00,1.4,40.78,65.95,20.3,17.16,7.42,18.4,73.0,1013.4,1.5,45.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 10:00,0.89,17.91,61.55,23.4,20.02,4.33,20.3,63.0,1013.8,1.1,90.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 11:00,1.06,21.24,66.59,17.46,19.14,6.74,22.8,52.0,1013.7,3.4,198.0,0.0,True,2025,9,condicoes_seguras
Lisboa,06/09/25 12:00,0.97,24.3,58.54,24.07,12.94,6.02,25.3,47.0,1013.6,7.1,210.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 13:00,1.0,30.81,56.53,21.32,4.2,6.32,26.2,49.0,1012.6,14.8,219.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 14:00,0.61,17.85,60.74,13.34,14.02,5.4,26.1,53.0,1012.9,16.6,222.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 15:00,0.92,25.61,52.79,19.19,18.39,6.12,25.9,53.0,1012.2,17.3,228.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 16:00,1.17,32.31,52.16,15.21,11.25,7.0,25.9,49.0,1011.8,16.2,233.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 17:00,1.14,37.86,65.84,27.81,18.99,9.87,25.7,40.0,1011.3,15.4,237.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,06/09/25 18:00,1.23,47.89,67.65,19.84,14.01,7.72,24.7,38.0,1011.6,15.1,245.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,06/09/25 19:00,0.99,37.21,64.84,21.29,18.14,11.12,22.5,48.0,1012.1,13.9,249.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,06/09/25 20:00,0.64,13.3,72.56,11.44,7.69,8.66,20.5,71.0,1012.6,11.8,250.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 21:00,0.75,35.32,54.29,19.44,10.37,6.88,19.4,83.0,1013.5,10.8,249.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 22:00,0.54,27.4,54.21,7.16,8.17,4.18,19.2,85.0,1014.1,8.4,227.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,06/09/25 23:00,0.58,8.34,40.57,13.87,8.79,3.49,19.2,87.0,1014.6,8.5,216.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 00:00,0.74,19.04,53.16,16.85,4.87,6.09,19.2,87.0,1014.8,8.9,220.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 01:00,0.71,14.27,47.44,10.09,4.06,1.46,19.5,87.0,1015.0,9.2,219.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 02:00,0.36,16.77,44.79,10.57,7.35,2.0,19.7,87.0,1015.0,7.4,203.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 03:00,0.63,17.3,52.58,11.52,4.93,2.43,19.7,87.0,1015.0,7.4,203.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 04:00,0.84,7.01,64.82,14.99,4.74,3.67,20.0,90.0,1015.2,6.8,198.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 05:00,0.34,18.09,64.52,12.88,7.41,3.38,19.9,90.0,1014.8,7.3,189.0,0.1,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 06:00,0.53,10.59,46.24,10.02,9.52,4.16,19.9,89.0,1014.9,6.5,186.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 07:00,1.12,41.89,54.27,29.89,23.91,8.9,20.0,93.0,1014.5,6.9,186.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 08:00,1.14,22.41,47.49,32.03,11.57,11.55,20.1,91.0,1015.4,5.4,180.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 09:00,1.24,39.44,64.89,27.03,26.08,10.03,20.3,90.0,1015.9,5.4,184.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 10:00,1.0,34.35,58.62,29.55,11.41,6.73,21.6,87.0,1016.3,3.8,253.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 11:00,0.78,23.13,63.07,17.37,9.84,5.76,22.3,82.0,1016.6,2.6,236.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 12:00,0.83,27.93,59.75,16.06,12.07,4.71,23.5,74.0,1017.1,0.7,360.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 13:00,1.16,16.33,66.02,9.09,15.55,6.37,24.3,65.0,1017.2,12.2,346.0,0.2,True,2025,9,condicoes_seguras
Lisboa,07/09/25 14:00,1.15,30.13,66.72,14.83,12.82,4.88,24.3,63.0,1017.4,12.4,350.0,0.1,True,2025,9,condicoes_seguras
Lisboa,07/09/25 15:00,0.97,21.42,61.42,19.77,11.73,6.97,24.7,60.0,1017.4,10.7,340.0,0.0,True,2025,9,condicoes_seguras
Lisboa,07/09/25 16:00,0.86,28.26,53.7,19.86,9.84,5.6,25.0,59.0,1017.4,10.5,344.0,0.0,True,2025,9,condicoes_seguras
Lisboa,07/09/25 17:00,1.58,33.81,78.05,26.37,19.95,5.86,24.5,61.0,1017.5,13.5,335.0,0.0,True,2025,9,condicoes_seguras
Lisboa,07/09/25 18:00,1.17,52.9,56.0,23.89,16.21,6.46,23.5,59.0,1017.5,14.7,332.0,0.0,True,2025,9,condicoes_seguras
Lisboa,07/09/25 19:00,1.41,36.01,67.81,24.77,16.87,7.98,22.2,66.0,1017.4,15.5,335.0,0.0,True,2025,9,condicoes_seguras
